iter	Passed	Remaining
483	892	951
484	893	949
485	895	946
486	896	944
487	898	942
488	899	939
489	900	937
490	902	935
491	903	932
492	904	930
493	906	928
494	907	926
495	909	923
496	910	921
497	911	919
498	913	917
499	914	914
500	916	912
501	917	910
502	918	907
503	920	905
504	921	903
505	923	901
506	924	898
507	925	896
508	927	894
509	928	892
510	930	890
511	931	888
512	933	886
513	934	883
514	936	881
515	937	879
516	938	877
517	940	874
518	941	872
519	943	870
520	944	868
521	946	866
522	948	864
523	949	862
524	951	860
525	952	858
526	953	856
527	955	854
528	956	851
529	958	849
530	959	847
531	961	845
532	962	843
533	963	841
534	965	838
535	966	836
536	968	834
537	969	832
538	971	830
539	972	828
540	974	826
541	975	824
542	976	822
543	978	820
544	979	817
545	981	815
546	982	813
547	983	811
548	985	809
549	987	807
550	988	805
551	990	803
552	991	801
553	992	799
554	994	797
555	995	795
556	997	792
557	998	790
558	999	788
559	1001	786
560	1002	784
561	1004	782
562	1005	780
563	1006	778
564	1008	776
565	1009	774
566	1010	771
567	1012	769
568	1013	767
569	1015	765
570	1016	763
571	1017	761
572	1019	759
573	1020	757
574	1022	755
575	1023	753
576	1024	751
577	1026	749
578	1027	747
579	1029	745
580	1030	743
581	1032	741
582	1033	739
583	1034	737
584	1036	735
585	1037	733
586	1038	731
587	1040	728
588	1041	726
589	1043	724
590	1044	723
591	1046	721
592	1047	718
593	1048	716
594	1050	714
595	1051	712
596	1053	710
597	1054	708
598	1055	706
599	1057	704
600	1058	702
601	1060	700
602	1061	699
603	1063	697
604	1064	695
605	1065	693
606	1067	691
607	1068	689
608	1070	687
609	1071	685
610	1074	683
611	1075	682
612	1077	680
613	1078	678
614	1080	676
615	1081	674
616	1083	672
617	1084	670
618	1086	668
619	1088	667
620	1089	665
621	1091	663
622	1092	661
623	1093	659
624	1095	657
625	1096	655
626	1098	653
627	1100	652
628	1102	650
629	1104	648
630	1106	646
631	1107	645
632	1110	643
633	1112	641
634	1115	641
635	1119	640
636	1122	639
637	1125	638
638	1127	636
639	1133	637
640	1135	636
641	1137	634
642	1139	632
643	1142	631
644	1144	629
645	1145	627
646	1148	626
647	1151	625
648	1153	623
649	1156	622
650	1158	620
651	1159	619
652	1161	617
653	1164	616
654	1166	614
655	1167	612
656	1169	610
657	1172	609
658	1174	607
659	1176	606
660	1179	604
661	1181	603
662	1184	602
663	1186	600
664	1189	599
665	1191	597
666	1193	595
667	1195	594
668	1197	592
669	1201	591
670	1203	590
671	1210	591
672	1213	589
673	1216	588
674	1218	586
675	1221	585
676	1225	584
677	1228	583
678	1230	581
679	1232	580
680	1234	578
681	1236	576
682	1239	575
683	1244	574
684	1246	573
685	1249	571
686	1253	570
687	1256	569
688	1259	568
689	1261	566
690	1264	565
691	1267	563
692	1269	562
693	1270	560
694	1272	558
695	1275	557
696	1277	555
697	1279	553
698	1281	551
699	1284	550
700	1286	548
701	1288	546
702	1291	545
703	1293	543
704	1295	541
705	1295	539
706	1297	537
707	1299	535
708	1301	534
709	1303	532
710	1304	530
711	1306	528
712	1308	526
713	1310	524
714	1312	523
715	1314	521
716	1318	520
717	1321	518
718	1323	517
719	1326	515
720	1328	514
721	1330	512
722	1332	510
723	1333	508
724	1335	506
725	1336	504
726	1338	502
727	1340	500
728	1341	498
729	1343	496
730	1344	494
731	1346	493
732	1348	491
733	1349	489
734	1351	487
735	1353	485
736	1354	483
737	1356	481
738	1358	479
739	1360	477
740	1361	475
741	1363	474
742	1365	472
743	1367	470
744	1368	468
745	1370	466
746	1373	465
747	1375	463
748	1378	461
749	1379	459
750	1382	458
751	1385	456
752	1387	455
753	1390	453
754	1392	451
755	1393	449
756	1395	448
757	1397	446
758	1400	444
759	1402	442
760	1404	441
761	1406	439
762	1408	437
763	1410	435
764	1412	433
765	1416	432
766	1419	431
767	1422	429
768	1425	428
769	1429	427
770	1434	426
771	1436	424
772	1438	422
773	1441	420
774	1443	419
775	1445	417
776	1448	415
777	1450	413
778	1452	411
779	1454	410
780	1456	408
781	1458	406
782	1462	405
783	1465	403
784	1467	401
785	1468	399
786	1470	397
787	1472	396
788	1473	394
789	1475	392
790	1477	390
791	1478	388
792	1480	386
793	1481	384
794	1483	382
795	1484	380
796	1486	378
797	1487	376
798	1489	374
799	1491	372
800	1492	370
801	1494	368
802	1495	366
803	1497	364
804	1498	363
805	1500	361
806	1502	359
807	1503	357
808	1505	355
809	1507	353
810	1508	351
811	1510	349
812	1511	347
813	1513	345
814	1515	344
815	1517	342
816	1519	340
817	1521	338
818	1523	336
819	1524	334
820	1526	332
821	1527	330
822	1529	328
823	1530	326
824	1532	325
825	1533	323
826	1535	321
827	1536	319
828	1538	317
829	1539	315
830	1541	313
831	1543	311
832	1544	309
833	1546	307
834	1547	305
835	1548	303
836	1550	301
837	1551	300
838	1553	298
839	1554	296
840	1556	294
841	1558	292
842	1560	290
843	1561	288
844	1563	286
845	1565	284
846	1566	282
847	1567	281
848	1569	279
849	1570	277
850	1572	275
851	1573	273
852	1574	271
853	1576	269
854	1577	267
855	1579	265
856	1580	263
857	1582	261
858	1583	259
859	1584	258
860	1586	256
861	1587	254
862	1589	252
863	1590	250
864	1591	248
865	1593	246
866	1595	244
867	1596	242
868	1598	240
869	1599	238
870	1600	237
871	1602	235
872	1603	233
873	1605	231
874	1606	229
875	1608	227
876	1609	225
877	1611	223
878	1613	222
879	1614	220
880	1616	218
881	1617	216
882	1619	214
883	1620	212
884	1622	210
885	1623	208
886	1625	207
887	1626	205
888	1628	203
889	1629	201
890	1630	199
891	1632	197
892	1633	195
893	1635	193
894	1637	192
895	1638	190
896	1640	188
897	1641	186
898	1642	184
899	1644	182
900	1645	180
901	1647	178
902	1648	177
903	1650	175
904	1652	173
905	1653	171
906	1655	169
907	1656	167
908	1658	165
909	1659	164
910	1660	162
911	1662	160
912	1663	158
913	1665	156
914	1666	154
915	1668	152
916	1669	151
917	1671	149
918	1672	147
919	1673	145
920	1675	143
921	1676	141
922	1678	139
923	1679	138
924	1680	136
925	1682	134
926	1683	132
927	1685	130
928	1686	128
929	1687	127
930	1689	125
931	1690	123
932	1692	121
933	1693	119
934	1694	117
935	1696	116
936	1698	114
937	1699	112
938	1700	110
939	1702	108
940	1703	106
941	1704	104
942	1706	103
943	1707	101
944	1709	99
945	1710	97
946	1712	95
947	1713	94
948	1715	92
949	1716	90
950	1717	88
951	1719	86
952	1720	84
953	1722	83
954	1723	81
955	1724	79
956	1726	77
957	1727	75
958	1729	73
959	1730	72
960	1731	70
961	1733	68
962	1734	66
963	1736	64
964	1738	63
965	1740	61
966	1741	59
967	1743	57
968	1747	55
969	1749	54
970	1750	52
971	1752	50
972	1753	48
973	1755	46
974	1757	45
975	1758	43
976	1760	41
977	1761	39
978	1763	37
979	1764	36
980	1765	34
981	1767	32
982	1768	30
983	1770	28
984	1771	26
985	1773	25
986	1774	23
987	1776	21
988	1777	19
989	1779	17
990	1780	16
991	1781	14
992	1783	12
993	1784	10
994	1786	8
995	1787	7
996	1789	5
997	1790	3
998	1792	1
999	1794	0
